Event Type,Object Name,Count,First Timestamp,Last Timestamp
Pergerakan,Player,3269,2026-07-11 22:44:21.914,2026-07-11 22:44:29.004
Input Mouse,GetMouseButtonDown,14,2026-07-11 22:44:39.944,2026-07-11 22:44:47.085
