Event Type,Object Name,Count,First Timestamp,Last Timestamp
Input Mouse,GetMouseButtonDown,77,2026-07-07 21:44:57.483,2026-07-07 21:46:16.216
Pergerakan,Player,1985,2026-07-07 21:46:21.918,2026-07-07 21:46:41.958
