Event Type,Object Name,Count,First Timestamp,Last Timestamp
Pergerakan,Player,1794,2026-07-08 05:26:47.833,2026-07-08 05:28:16.157
Input Mouse,GetMouseButtonDown,75,2026-07-08 05:27:04.555,2026-07-08 05:28:13.672
